"stock","sector"
"PNSUT","FOOD, BEVERAGE AND TOBACCO"
"POLHO","HOLDING AND INVESTMENT COMPANIES"
"POLTK","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"PRDGS","VENTURE CAPITAL INVESTMENT TRUSTS"
"PRKAB","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"PRKME","MINING AND QUARRYING"
"PRZMA","PAPER AND PAPER PRODUCTS PRINTING"
"PSDTC","WHOLESALE AND RETAIL TRADE"
"PSGYO","REAL ESTATE INVESTMENT TRUSTS"
"QNBFK","FINANCIAL LEASING AND FACTORING COMPANIES"
"QNBTR","BANKS"
"QUAGR","NON-METALLIC MINERAL PRODUCTS"
"RALYH","HOLDING AND INVESTMENT COMPANIES"
"RAYSG","INSURANCE COMPANIES"
"REEDR","TECHNOLOGY"
"RGYAS","REAL ESTATE ACTIVITIES"
"RNPOL","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"RODRG","TEXTILE, WEARING APPAREL AND LEATHER"
"ROYAL","TEXTILE, WEARING APPAREL AND LEATHER"
"RUBNS","TEXTILE, WEARING APPAREL AND LEATHER"
"RYGYO","REAL ESTATE INVESTMENT TRUSTS"
"RYSAS","TRANSPORTATION AND STORAGE"
