"stock","sector","2024TotalRevenue","2024NetIncome","2024TotalAssets","2024CurrentLiabilities","2024TotalLiabilitiesNetMinorityInterest","2024TotalEquityGrossMinorityInterest","2024InvestingCashFlow","2024ShareIssued","2024WorkingCapital","2024CostOfRevenue","2023TotalRevenue","2023NetIncome","2023TotalAssets","2023CurrentLiabilities","2023TotalLiabilitiesNetMinorityInterest","2023TotalEquityGrossMinorityInterest","2023InvestingCashFlow","2023ShareIssued","2023WorkingCapital","2023CostOfRevenue","2022TotalRevenue","2022NetIncome","2022TotalAssets","2022CurrentLiabilities","2022TotalLiabilitiesNetMinorityInterest","2022TotalEquityGrossMinorityInterest","2022InvestingCashFlow","2022ShareIssued","2022WorkingCapital","2022CostOfRevenue","2021TotalRevenue","2021NetIncome","2021TotalAssets","2021CurrentLiabilities","2021TotalLiabilitiesNetMinorityInterest","2021TotalEquityGrossMinorityInterest","2021InvestingCashFlow","2021ShareIssued","2021WorkingCapital","2021CostOfRevenue"
"ATEKS","TEXTILE, WEARING APPAREL AND LEATHER",1912488238,-114287832,4987636260,944254567,1711113213,3276523047,88505430,25200000,-56281614,1782549832,2473561806,-133288971,5401016570,1295958903,2106032829,3294983741,183924384,25200000,-24322006,2365131671,1897909403,-138903434,4013296473,1250749963,1714944801,2298351672,-92485476,25200000,-18769454,1900711198,426244937,133565183,1212944222,312691926,406763089,806181133,-19387679,25200000,20811737,323035299
"ATLAS","INVESTMENT TRUSTS",3760043412,11107461,365541776,891043,1696504,363845272,65172328,6e+07,364545551,3578738432,4398013190,-84236682,356290233,2788286,3353626,352936607,-12873508,6e+07,353298475,4274941420,2708624549,83188135,412763976,83382047,83698405,329065571,-102177784,6e+07,329169678,2510313407,528011830,12426561,95467192,2481874,2656868,92810324,-4113495,6e+07,92982708,513890002
"ATSYH","HOLDING AND INVESTMENT COMPANIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51354937,10572725,41640612,22931469,23016198,18624414,179798,8e+06,10777190,32472481,40703892,795606,28751008,22393372,22859058,5891950,NA,8e+06,-1556581,38049293
"AVGYO","REAL ESTATE INVESTMENT TRUSTS",243302372,65228799,1646754185,21490612,28297175,1618457010,22061987,111600000,215654594,165556666,44183379,22628351,1615213185,25523434,26873384,1588339801,-24938219,111600000,152706018,1491080,39231178,123364240,1121110631,25763056,26495137,1094615494,-13408751,111600000,97109038,5366002,10084207,30986565,365029346,16000119,16208399,348820947,-13673361,111600000,27214829,277221
"AVHOL","HOLDING AND INVESTMENT COMPANIES",601252554,81119716,1378217512,406944957,498865738,879351774,-81919569,37250000,104914419,562996667,377565581,63687220,732950835,156645483,203539231,529411604,77495942,37250000,94070248,369628996,190609289,-45323566,545959486,60546080,154715754,391243732,-6614806,37250000,121431012,182843216,39507731,2542079,108636382,21156720,25849924,82786458,-27095900,3e+07,20943548,31536101
"AVOD","FOOD, BEVERAGE AND TOBACCO",1405154949,-289016501,2237255707,906235094,986542437,1250713270,297604211,2.7e+08,366645884,1258183183,1586490302,24364378,1730973592,644870138,675048387,1055925205,87743411,2.7e+08,323016701,1316807823,1098392657,-111825792,1489718050,362471942,437364075,1052353975,-90056475,2.7e+08,432087641,966729750,254202304,21778286,388453928,198611552,211821393,176632535,2359968,174085290,29727619,187977792
"AVPGY","REAL ESTATE INVESTMENT TRUSTS",7452978176,7380600157,39423788945,901248934,8287088150,31136700795,-5229921792,4e+08,8029084703,1263937386,4451047681,4708456661,30286351566,669977009,678553181,29607798385,-269950064,4e+08,6685385223,1762138006,5893908897,10103162589,20055740338,1291366865,3562206391,16493533947,870758447,4e+08,2757842860,3912652070,170548167,944777797,3565923725,1213933370,1620707184,1945216541,84408,4e+08,-85923311,70504271
"AVTUR","HOTELS AND RESTAURANTS",13924700,5595369,1016020786,3115540,156942653,859078133,2008301,4.5e+07,18162038,17159083,16726169,121999151,995377718,2427808,141463612,853914106,-16613925,4.5e+07,25274968,20787006,10988922,46440034,561818087,3342675,54735167,507082920,-4436976,4.5e+07,15933453,15318391,3511837,32103380,141059743,2007505,13921445,127138298,-23250,4.5e+07,10507728,2798415
"AYCES","HOTELS AND RESTAURANTS",311136798,-138941239,4697373670,38674928,983224208,3714149462,-34118718,2.5e+07,-146513,251439239,322558379,-42201349,4225477975,59545647,771464167,3454013808,-52600863,2.5e+07,17129311,235890882,195530821,17299455,2942573747,56738177,424582984,2517990763,27891909,2.5e+07,15039809,141402289,63099863,16119659,654871742,19945200,108711439,546160303,-7945669,2.5e+07,2330262,31987391
"AYDEM","ELECTRICITY GAS AND WATER",6583577587,-11770278365,56421563678,6823328738,29056486209,27365077469,-831418587,7.05e+08,-5681807,4977046462,9180783497,-1848193431,80284393739,3012778554,38962070244,41322323495,-2375900563,7.05e+08,3828432586,5213430269,7565576718,4973023571,59788434916,2633310268,30466185713,29322249203,-2180034740,7.05e+08,2406422238,3376715198,1240753398,-120291640,22531356887,876633203,12728096947,9803259940,-249929767,7.05e+08,863845255,725768454
"AYEN","ELECTRICITY GAS AND WATER",6485864060,731494334,20359416076,2056132772,7033706860,13325709216,95639183,277500000,63622353,4870674204,7632131434,1958602835,23797969816,2342180511,8611882286,15186087530,-228212593,277500000,432133363,6122454970,11635021906,2507583477,26787574967,5250572753,13403801480,13383773487,-115385950,277500000,2421587885,7389811209,1574520222,111655194,5576034202,1178485909,3762795485,1813238717,-787116,277500000,-448382780,1007260342
"AYES","BASIC METAL",7459556734,55901162,3064646475,1228854371,1521639286,1543007189,-31994690,149999998,323019671,7220878809,7794114487,117066698,2589643452,1843841722,1851624347,738019105,-43496173,149999998,230141045,7173852097,5389746299,84282281,1136704736,695700804,706565359,430139377,-92970309,149999998,131619084,4963115624,1340579006,35889748,323065899,229395093,235469048,87596851,-7722490,149999998,52205851,1212480092
"AYGAZ","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS",81773124000,2122621000,61850035000,7927146000,9577407000,52272628000,1251158000,219800767,2880200000,74899125000,93607612000,8596186000,66686616000,13045370000,13954623000,52731993000,3620443000,219800767,1599284000,86442381000,71287651000,6848121000,45770964000,12465945000,14910159000,30860805000,-452731000,219800767,-161985000,67429654000,15893254000,670105000,8333131000,3868659000,5613932000,2719199000,-158410000,3e+08,768932000,14455117000
"AZTEK","TECHNOLOGY",8016388778,228159729,4200233240,2193739621,2295418834,1904814406,23545502,1e+08,1740842126,6624301904,8645362945,411859637,4386681660,2382213955,2475737141,1910944519,51512948,1e+08,1675729453,6998922866,4863985195,168102765,2175657132,948000568,990732163,1184924969,-65441912,1e+08,1035674611,4238732952,1081557080,88552143,556494062,319321756,340636732,215857330,-5009275,8e+07,202586975,919850134
"BAGFS","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2881875479,-1507261377,9063177005,2211022312,4363031259,4700145746,-180710429,1.35e+08,590752108,3593010690,7476972127,1661721310,10960920230,2380862151,4687846562,6273073668,-395014204,1.35e+08,1493393263,5835656402,1740196907,155402405,3272538949,1771428759,2617461764,655077185,-228884980,1.35e+08,-32126667,1071151920
"BAHKM","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAKAB","PAPER AND PAPER PRODUCTS PRINTING",4383134566,-293082776,4426060004,1382533625,2095893828,2330166176,-127250022,7.2e+07,399240050,4053344351,4936393288,54564692,5209727246,1583836305,2542617672,2667109574,-159146118,7.2e+07,831825373,4327194254,3821514712,120207439,3735771393,1320819151,2168756949,1567014444,-234878895,7.2e+07,754184068,3616562851,895822327,76176073,1099085938,641189348,767245742,331840196,-72335860,7.2e+07,133576816,760801478
"BALAT","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14765355,28138386,121518875,8463140,17659523,103859352,-10081859,27756974,1929206,22004992,10983465,-1796364,100484811,8272082,55103854,45380957,-3571859,26754374,10916608,12023600,4551688,-11369072,39902036,6382261,23424720,16477316,-16176279,26754374,1233918,3752424
"BANVT","FOOD, BEVERAGE AND TOBACCO",31533780551,3599078527,18809508685,7766598111,8805372252,10004136433,-973510788,100023579,4881172800,24143605794,30788565934,1374436221,15782360668,8151548090,9427514602,6354846066,-606954785,100023579,1169545794,27135626509,20273876437,-982668170,12199601262,7046987682,8198105156,4001496106,-2347491447,100023579,4352051,20790271633,5321483536,95150799,3812039566,2164440081,2567942523,1244097043,-182871082,100023579,850082769,4641890751
"BARMA","PAPER AND PAPER PRODUCTS PRINTING",2669285046,223694727,7808470011,2241632549,4478776367,3329693644,-2421621116,262500000,-943359895,1978240202,2859048372,166271347,5431517736,1256629649,2676614955,2754902781,-1190542328,262500000,691177796,2157613548,2847052943,209395452,2784837553,760874494,991687587,1793149966,-191125150,262500000,1042373217,2050892473,771092293,122158682,641234915,267489527,325615250,315619665,6675412,2.25e+08,155096505,566813371
"BASCM","NON-METALLIC MINERAL PRODUCTS",8419016103,-603106583,7379878470,1532748092,1683392061,5696486409,-137664696,6.6e+08,1087795713,7679701289,9197871526,1409464326,8438153688,2009615290,2115524508,6322629180,-625546980,6.6e+08,1319539759,7467038132,4803946579,-67674856,6145017068,2152257602,2736599693,3408417375,-271751867,6.6e+08,840288735,4111585558,905446296,-43273060,1130308243,693435464,735856112,394452131,-13042150,507571506,-21763762,850274161
"BASGZ","REAL ESTATE INVESTMENT TRUSTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAYRK","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS",252367285,-108351193,525399507,368784773,404183221,121216286,-37697120,47125000,-91511115,247835788,423471297,37982767,513806764,251165110,276318304,237488460,-60183296,47125000,13463338,382044001,278864439,-34309717,345469443,106585480,173759907,171709536,-22073717,47125000,89646334,248960682,67618396,4758427,112682644,46707613,53702305,58980339,-10473221,47125000,28216833,50232487
"BEGYO","REAL ESTATE INVESTMENT TRUSTS",970795800,1133298692,4116988774,6844894,12169198,4104819576,-2893597,8.15e+08,674122112,464940311,159307564,199888445,4247308771,330295561,1592358561,2654950210,-143131,8.15e+08,774370354,26851613,167478269,685304605,2880687209,1161508963,2053979277,826707932,-1160493,8.15e+08,-922179529,37510679,35568985,-112167221,1015190685,885938750,1407300684,-392109999,-29068,8.15e+08,-817281283,10953002
"BERA","HOLDING AND INVESTMENT COMPANIES",16663064327,797099132,33585682885,4601534374,7724316704,25861366181,-2234462279,683200000,6882202709,12906704670,18557079447,4305975987,34644555324,5206472261,9675609585,24968945739,-965138921,683200000,7221417994,14357327983,15047030769,-1265340829,21521903000,3944554413,6737202739,14784700261,-287841538,683200000,5916938748,10801801122,4217184173,746546258,6499408979,1721596946,2366236051,4133172928,-383340971,683200000,1602026378,3215725545
"BEYAZ","TRANSPORTATION AND STORAGE",15153965130,-37853286,2543543344,1567121251,1618270489,925272855,-268634425,99687500,367481667,14808519067,15056442173,145949470,2897406124,1832753980,1913865907,983540217,-7311765,99687500,682870490,14355816554,5681816523,22946470,2445565369,1797678873,1823500753,622064616,-54263033,99687500,384143021,5435429116,1470676139,38052614,436365021,232191790,237985988,198379033,-38852461,99687500,128196259,1409397647
"BFREN","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES",2065007118,94412685,1014545631,443050007,743245558,271300073,12421002,30636683,227849567,1860961974,1747705769,-90824658,1036159126,471572555,859048420,177110706,-30066539,30636750,122193168,1676310326,1296637492,116943509,790382683,348764142,502627780,287754903,-174559734,30636750,69105373,1140193673,319375190,40273975,169535026,71456601,81628012,87907014,-2112295,30636750,68658494,277172833
"BIENY","NON-METALLIC MINERAL PRODUCTS",8052287348,-2102450704,16000746350,4335618706,4855118183,11145628167,826142465,3.61e+08,3055534471,7537176281,12642406884,166743833,19479227885,5496332871,6197400942,13281826943,-3362204170,3.61e+08,6692039874,10374927137,10093322701,539276541,10398962901,4520726589,5549360415,4849602486,314965749,3.61e+08,2064656982,7585000891,2331124708,579909221,2937704906,1118673646,1843649001,1094055905,NA,3.61e+08,922458704,1424577900
"BIGCH","HOTELS AND RESTAURANTS",3467692713,156894356,2467933859,768013714,1238111567,1229822292,-606576252,1.07e+08,-134979556,2679393824,3143242866,246320828,2264149376,635645987,1076665678,1187483698,-356552398,1.07e+08,167380275,2360336871,1696380649,262631378,1283788335,461355844,843554100,440234235,-142529488,1.07e+08,-69284286,1339090869,277672431,19318756,332363520,210025305,320565017,11798503,-32989767,1.07e+08,-77703794,199383748
"BIMAS","WHOLESALE AND RETAIL TRADE",519566633000,18586744000,235848815000,74673138000,117310117000,118538698000,-16930052000,607200000,-631733000,428749498000,474200415000,22293141000,213872217000,78071363000,113179958000,100692259000,-17520944000,607200000,555811000,399581632000,279252910000,16596239000,126100954000,47471057000,67793605000,58307349000,-9559311000,607200000,-753151000,237182345000,70698507000,2932482000,30412122000,15864572000,22603050000,7809072000,-45169000,607200000,-1853479000,57238477000
"BINBN","TECHNOLOGY",784354514,-125048816,2051518448,127140751,304315825,1747202623,185488486,1.7e+07,1286287923,597338053,780458823,35613777,2240911187,1368628790,1481385544,759525643,-152804474,1.7e+07,80816431,406526593,662347555,-103567507,1160006781,302286871,545028883,614977898,-497486841,1.7e+07,120789695,336279068,242150196,27125110,1172054512,192227134,432001849,740052663,-285471239,1.7e+07,395099997,119640309
"BINHO","HOLDING AND INVESTMENT COMPANIES",31497211,-6822383031,12097145811,390778931,2876236197,9220909614,-540752639,4.7e+07,1208615742,276208,4426081332,5584085334,21301063739,356518358,5257771094,16043292645,-3188461,4.7e+07,1292490133,860,NA,NA,8229531337,15736404,1901300045,6328231292,NA,4.7e+07,-13488937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOEN","ELECTRICITY GAS AND WATER",2687685978,98595550,8590820601,1741056559,4578812248,4012008353,-679417361,5e+08,-631951956,2568763671,3224019476,1368888418,6668203235,1604254916,3816907665,2851295570,-1409951638,5e+08,-458368064,2735611541,2337689221,576759013,6644030002,2007819718,4168840028,2475189974,-1447809224,5e+08,17415649,1540646477,427703847,6542009,1832048051,473782767,1273378141,558669910,-439968868,5e+08,209143442,304367466
"BIZIM","WHOLESALE AND RETAIL TRADE",38219567119,-1680515982,11589380230,9004589901,10592912834,996467396,-63072344,80476074,-3094952464,32997930257,46522093733,100981108,13377373887,8727933095,10535381717,2841992170,-457142544,80476074,-1369964249,41964914472,31937713710,689889872,10200729927,7174769171,8166313997,2034415930,-417380593,6e+07,-335871459,28828587420,7173144694,82267890,2138497049,1730315335,1922402159,216094890,-96120000,6e+07,-189446273,6290320186
"BJKAS","EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLCYT","TEXTILE, WEARING APPAREL AND LEATHER",677450589,39198040,5115412731,102808140,614598805,4500813926,-39295045,1e+08,991782940,606892033,743776506,594509900,4567375375,177288667,291155562,4276219813,-70671383,1e+08,1417828038,520108355,1335723425,340396165,2855060199,77558525,157447990,2697612209,-123754569,1e+08,971842873,966615368,321551102,101876150,888456226,36855892,109501038,778955188,-26563712,99999999,268052453,190022405
"BMSCH","BASIC METAL",2345695969,-197018222,1622905879,468523563,660052711,962853168,-80259508,99999996,-99718642,2322629178,3254713847,36935995,1604371686,368682152,513087691,1091283995,-146220893,99999996,111683393,3003027301,1933600592,-31544209,850600136,265620412,301881669,548718467,-106566321,99999996,171564508,1810094372,447792698,24187748,235405183,47368065,55905157,179500026,-5801423,99999996,121979179,400452953
"BMSTL","BASIC METAL",1790009694,-11145016,2082086159,716755762,938754133,1143332026,-245579385,1.5e+08,63348470,1493032433,1380215793,16892030,1639197034,475496301,696442446,942754588,-224943387,149999993,166382602,1138514831,1112868185,123282572,1048739000,367057433,447250683,601488317,-24435054,149999993,184863468,871683442,555273247,51009999,604434233,321502600,414447403,189986830,1507568,123203280,-2843213,420214465
"BNTAS","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOBET","NON-METALLIC MINERAL PRODUCTS",10123193596,161070590,8584872624,2059835414,2488451215,6096421409,-2187901062,3.8e+08,467623579,9132744023,12851984247,2027357386,9741872311,2610786870,3170838673,6571033638,-1662559968,3.8e+08,1112774650,10239484565,6293673456,390272270,5001576540,1140865446,1624364576,3377211964,-62257273,3.8e+08,690742533,5389893762,913645341,37624029,1486179167,401629376,541455090,944724077,-33888601,3.8e+08,108762666,853244646
"BORLS","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",6839284720,-1573940014,8917509383,4450130177,6500502940,2417006443,-310230222,168700000,-2351434340,5436135888,4592554953,734323020,9055419642,3476017336,5060917575,3994502067,-260598747,168700000,-980316341,3724577558,3371711023,911790010,4930888224,2297536007,3345109820,1585778404,145070760,168700000,-1338297391,2821409915,1292710213,45968669,1755723982,1280006663,1775713780,-19989798,198260694,168700000,-561449669,885003965
"BORSK","FOOD, BEVERAGE AND TOBACCO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOSSA","TEXTILE, WEARING APPAREL AND LEATHER",6265329750,541584698,11154704254,2248998259,3415470343,7739233911,-530465680,1.3e+09,1465864781,4999425234,7143277463,1657904751,10888563572,2517070550,3734762236,7153801336,-295531301,1.3e+09,1395008969,6073526995,5111475711,1060227999,7258399439,2180248977,3599784468,3658614971,-841879958,1299999930,678957090,4544177826,1350266817,327148279,1843424434,863922370,1165266298,678158136,-105676498,1299999911,279644773,894179619
"BRISA","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS",34546796748,1518775313,43148020510,18503306290,23499731391,19648289119,-2415912034,305116875,4035078932,26409639854,38257936373,5754433240,53507014214,24964014231,34093586666,19413427548,-100941289,305116875,6842068374,28874697639,26863170153,2509042736,32756848347,16489904132,21140184225,11616664122,-3377850103,305116875,61787831,20908956178,6634262406,1004575346,10289318731,5088156388,7980226423,2309092308,-438308987,305116875,796101728,4618321892
"BRKO","TEXTILE, WEARING APPAREL AND LEATHER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45105636,-1391771849,1283743431,59625746,71315768,1212427663,336088,1.2e+08,173974,35283867,66402199,142034558,435687979,50848383,73107160,362580819,-1687083,1.2e+08,-7629193,50578743,63899849,1075965,168988008,63284029,83828816,85159192,370885,1.2e+08,-471795,44188607
"BRKSN","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS",664324220,-7407306,690125760,103218497,159068762,531056998,-11113955,31200000,168340219,432887028,812658496,101877896,515052422,99680749,131204362,383848060,-29057584,31200000,112816182,508701370,540305169,-3856428,448085047,172756230,219595262,228489785,18442863,31200000,59139663,396204235,141727618,15734046,135811619,70270309,89143415,46668204,-23583759,31200000,21449858,103863690
"BRKVY","ASSET MANAGEMENT COMPANIES",1227662000,371150000,1767894000,411893000,756285000,1011609000,-8462000,5.6e+07,1016811000,128223000,770983000,215975000,1203528000,332415000,545986000,657542000,-317931000,5.6e+07,526720000,66535000,357694000,149365000,744506000,183837000,278166000,466340000,-1266000,5.6e+07,504331000,34756000,326673000,161493000,401290000,139648000,169519000,231771000,340000,5.6e+07,238828000,20776000
"BRLSM","CONSTRUCTION AND PUBLIC WORKS",4017552961,445451579,3311156154,1807166015,1925979779,1385176375,-263793218,2.24e+08,1008063406,2977514966,5729217184,-288830107,5048719966,4078863695,4106504742,942215224,76826290,2.24e+08,474823691,5136920765,2638649776,-173429468,3498788539,2505168476,2596095528,902693011,-194898435,2.24e+08,681971620,2415170480,620288863,31706586,889811874,525644209,547396907,342414967,2174832,223999996,288931155,544413864
